fbfbfgbfIP: 199.119.233.139, Date: 31-08-18, Time:00:18:59, Browser: Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1

IP: ::1, Date: 31-08-18, Time:01:37:51, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude:  Longitude: 
IP: ::1, Date: 31-08-18, Time:01:38:11, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude: 43.565604099999995 Longitude: -79.63967389999999
IP: 199.119.233.129, Date: 31-08-18, Time:01:39:21, Browser: Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) GSA/56.0.208290612 Mobile/15G77 Safari/604.1Latitude:  Longitude: 
IP: 199.119.233.129, Date: 31-08-18, Time:01:40:13, Browser: Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1Latitude:  Longitude: 
IP: 199.119.233.139, Date: 31-08-18, Time:01:41:00, Browser: Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1Latitude:  Longitude: 
IP: ::1, Date: 31-08-18, Time:01:43:08, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude: 43.565604099999995 Longitude: -79.63967389999999
IP: ::1, Date: 31-08-18, Time:01:43:15, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude:  Longitude: 
IP: ::1, Date: 31-08-18, Time:01:46:32, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude: 43.565604099999995 Longitude: -79.63967389999999
IP: ::1, Date: 31-08-18, Time:18:41:14, Browser: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36Latitude: 43.565623099999996 Longitude: -79.639673
